game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2006_03_CIN_PIT,24,CIN 16,(1:13) 7-B.Roethlisberger spiked the ball to stop the clock.,73,47,0:10,1,10,0,4131,Turnover
2006_05_BAL_DEN,20,DEN 34,(1:00) (Shotgun) 9-S.McNair pass short left to 86-T.Heap to DEN 35 for 10 yards. Lateral to 89-M.Clayton pushed ob at DEN 34 for 1 yard (52-I.Gold).,60,45,0:36,1,10,0,3489,Turnover
2006_05_CLE_CAR,27,CAR 15,(1:00) (Shotgun) 9-C.Frye pass short left to 80-K.Winslow to CAR 42 for 5 yards (23-R.Howard).,60,47,0:05,1,10,1,4265,Field goal
2006_05_DET_MIN,23,50,(:45) 8-J.Kitna pass short left to 34-K.Jones to 50 for 4 yards (91-R.Edwards). DET-34-K.Jones was injured during the play.,45,54,0:23,1,10,0,3971,Turnover
2006_06_NYG_ATL,24,NYG 22,(:54) (Shotgun) 7-M.Vick pass short middle to 33-J.Griffith to NYG 31 for 14 yards (37-J.Butler).,54,45,0:00,1,10,0,4052,End of half
2006_07_GB_MIA,27,GB 20,"(:53) (No Huddle, Shotgun) 3-J.Harrington pass short middle to 23-R.Brown to GB 32 for 13 yards (22-M.Manuel) [94-K.Gbaja-Biamila].",53,45,0:00,1,10,0,4892,End of half
2006_09_ATL_DET,22,DET 10,(2:00) (Shotgun) 7-M.Vick pass incomplete short left to 12-M.Jenkins.,120,53,0:00,1,10,0,4141,Turnover
2006_09_DEN_PIT,25,DEN 48,(:28) 7-B.Roethlisberger pass incomplete deep right to 80-C.Wilson [97-D.Veal]. coverage by #41 Paymah,28,48,0:09,1,10,0,4315,Turnover
2006_10_GB_MIN,25,GB 16,(1:56) (Shotgun) 14-B.Johnson pass short middle to 30-M.Moore pushed ob at GB 28 for 27 yards (36-N.Collins).,116,55,0:58,1,10,1,4004,Field goal
2006_10_SD_CIN,26,LAC 15,(2:00) 9-C.Palmer pass deep middle to 85-C.Johnson to SD 27 for 22 yards (59-D.Edwards).,120,49,0:44,1,10,0,4553,Turnover on downs
2006_11_CHI_NYJ,21,NYJ 39,(:35) (No Huddle) 10-C.Pennington spiked the ball to stop the clock.,35,55,0:08,1,10,0,3951,Turnover on downs
2006_11_CIN_NO,25,CIN 30,(1:37) (Shotgun) 9-D.Brees pass short right to 83-B.Miller to CIN 45 for 4 yards (43-E.Kilmer).,97,49,0:00,1,10,0,4056,End of half
2006_11_SD_DEN,21,LAC 32,"(:34) 16-J.Plummer pass short middle to 80-R.Smith to SD 37 for 14 yards (29-D.Florence). PENALTY on SD-29-D.Florence, Defensive Delay of Game, 5 yards, enforced at SD 37.",34,51,0:00,1,10,0,3862,End of half
2006_11_WAS_TB,19,TB 4,(1:37) 17-J.Campbell pass incomplete short middle to 46-L.Betts.,97,49,0:32,1,10,1,3643,Touchdown
2006_12_ARI_MIN,22,MIN 9,(1:49) 7-M.Leinart pass incomplete to 86-T.Walters.,109,53,0:39,1,10,1,4323,Touchdown
2006_12_GB_SEA,28,SEA 45,"(:52) (No Huddle, Shotgun) PENALTY on GB-88-B.Franks, False Start, 5 yards, enforced at SEA 46 - No Play. 10 second runoff.",52,46,0:00,1,10,0,4600,Turnover
2006_13_ARI_STL,22,ARI 38,(:32) (Shotgun) 10-M.Bulger pass short middle to 39-S.Jackson to ARI 38 for 8 yards (21-A.Rolle).,32,46,0:00,1,10,0,4294,Turnover
2006_14_MIN_DET,23,MIN 27,(1:50) (Shotgun) 8-J.Kitna pass short left to 87-M.Furrey to MIN 40 for 11 yards (56-E.Henderson; 21-F.Smoot).,110,51,1:01,1,10,0,3983,Turnover
2006_15_DAL_ATL,22,ATL 48,(:54) (Shotgun) 8-M.Schaub pass incomplete deep left to 87-A.Lelie.,54,52,0:38,1,10,0,3940,Turnover
2006_15_NYJ_MIN,24,NYJ 37,(:08) 7-T.Jackson spiked the ball to stop the clock.,8,46,0:00,1,10,0,4217,End of half
2006_15_PHI_NYG,23,PHI 16,(1:20) (Shotgun) 10-E.Manning pass deep middle to 17-P.Burress to PHI 30 for 19 yards (20-B.Dawkins).,80,49,0:00,1,10,0,4180,End of half
2007_01_CAR_STL,23,CAR 44,(:30) (Shotgun) 10-M.Bulger pass incomplete short left to 23-B.Leonard.,30,54,0:00,1,10,0,4178,End of half
2007_02_HOU_CAR,25,HOU 32,"(1:12) (No Huddle, Shotgun) 17-J.Delhomme scrambles right end to HOU 42 for 13 yards (34-V.Hutchins).",72,55,0:00,1,10,0,4181,End of half
2007_03_JAX_DEN,19,DEN 45,(1:48) (Shotgun) 6-J.Cutler pass deep left intended for 14-B.Stokley INTERCEPTED by 26-S.Knight at JAX 34. 26-S.Knight to JAX 35 for 1 yard (14-B.Stokley).,108,55,1:40,1,10,0,3457,Turnover
2007_03_SD_GB,21,GB 26,"(:46) (Shotgun) 17-P.Rivers pass short right to 83-V.Jackson to GB 37 for 18 yards (21-C.Woodson, 50-A.Hawk).",46,55,0:20,1,10,1,4069,Field goal
2007_05_ARI_STL,25,ARI 29,(2:00) (Shotgun) 12-G.Frerotte pass short right to 22-T.Minor to ARI 40 for 13 yards (58-K.Dansby).,120,53,0:13,1,10,1,4700,Touchdown
2007_06_CAR_ARI,30,ARI 47,(:05) 12-T.Rattay pass deep right to 85-J.Urban to CAR 11 for 42 yards (20-C.Gamble).,5,53,0:00,1,10,0,4795,End of half
