game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2004_04_KC_BAL,20,BAL 40,(2:00) (Shotgun) 7-K.Boller sacked at BAL 34 for -9 yards (55-G.Stills).,120,57,1:23,1,10,0,3692,Turnover on downs
2004_05_BUF_NYJ,20,BUF 48,(:51) (Shotgun) 11-D.Bledsoe sacked at BUF 32 for -3 yards (94-J.Abraham).,51,65,0:00,1,10,0,3725,Turnover
2004_05_STL_SEA,24,SEA 18,(1:14) (Shotgun) 10-M.Bulger pass incomplete to 28-M.Faulk.,74,64,0:08,1,10,1,3878,Field goal
2004_06_KC_JAX,19,KC 14,(1:54) (Shotgun) 7-B.Leftwich pass incomplete to 28-F.Taylor.,114,55,0:45,1,10,1,3506,Touchdown
2004_06_SF_NYJ,20,SF 35,(1:44) 13-T.Rattay pass intended for 22-T.Jackson INTERCEPTED by 51-J.Vilma at SF 34. 51-J.Vilma pushed ob at SF 20 for 14 yards (22-T.Jackson).,104,65,1:36,1,10,0,3594,Turnover
2004_06_WAS_CHI,26,CHI 46,(1:28) (Shotgun) 12-J.Quinn pass to 80-B.Berrian to CHI 41 for 6 yards (25-R.Clark).,88,65,0:13,1,10,0,4026,Turnover
2004_07_JAX_IND,20,IND 49,(:06) 18-P.Manning spiked the ball to stop the clock.,6,63,0:00,1,10,0,3891,End of half
2004_09_ARI_MIA,25,MIA 37,(:05) 7-A.Feeley pass incomplete.,5,63,0:00,1,10,0,4281,End of half
2004_12_NO_ATL,24,NO 36,(:29) (Shotgun) 2-A.Brooks pass incomplete to 83-D.Stallworth.,29,65,0:00,1,10,0,3933,Turnover
2004_13_DAL_SEA,25,SEA 17,(1:44) (Shotgun) 16-V.Testaverde pass incomplete to 21-J.Jones.,104,57,0:32,1,10,1,4187,Touchdown
2004_13_DEN_SD,28,LAC 46,(:50) (Shotgun) 16-J.Plummer pass incomplete to 88-J.Putzier (59-D.Edwards).,50,59,0:00,1,10,0,4109,End of half
2004_13_PIT_JAX,17,JAX 19,(1:38) (Shotgun) 7-B.Roethlisberger pass to 89-L.Mays to JAX 40 for 18 yards (30-D.Washington).,98,58,0:18,1,10,1,3508,Field goal
2004_13_PIT_JAX,18,PIT 42,(:11) (Shotgun) 7-B.Leftwich pass to 82-J.Smith to PIT 42 for 19 yards (51-J.Farrior).,11,61,0:00,1,10,0,3571,Missed field goal
2004_14_KC_TEN,27,TEN 9,(1:31) 10-T.Green pass incomplete to 88-T.Gonzalez (53-K.Bulluck).,91,64,0:32,1,10,1,4436,Touchdown
2004_14_KC_TEN,27,TEN 9,(1:20) (Shotgun) 10-T.Green pass to 27-L.Johnson to KC 48 for 7 yards (53-K.Bulluck).,80,59,0:32,1,10,1,4436,Touchdown
2004_16_OAK_KC,22,KC 28,(1:42) 5-K.Collins pass incomplete to 84-J.Porter.,102,57,1:03,1,10,1,4148,Field goal
2004_17_NO_CAR,30,NO 42,(:20) 17-J.Delhomme pass to 87-M.Muhammad to NO 42 for 16 yards (21-J.Craft).,20,58,0:00,1,10,0,4140,Missed field goal
2005_02_WAS_DAL,25,DAL 41,(:15) 11-D.Bledsoe spiked the ball to stop the clock.,15,59,0:00,1,10,0,4312,End of half
2005_03_DAL_SF,25,SF 37,(1:06) 13-T.Rattay pass incomplete to 83-A.Battle (31-R.Williams).,66,63,0:54,1,10,0,4131,Turnover
2005_04_GB_CAR,25,CAR 41,(1:58) (Shotgun) 4-B.Favre pass to 80-D.Driver to CAR 48 for 15 yards (27-M.McCree).,118,63,1:03,1,10,0,4024,Turnover on downs
2005_05_TB_NYJ,21,TB 40,"(:10) 8-B.Griese pass to 84-J.Galloway to NYJ 34 for 26 yards (54-V.Hobson, 51-J.Vilma).",10,60,0:00,1,10,0,3837,End of half
2005_07_DET_CLE,22,CLE 24,(1:54) (Shotgun) 8-T.Dilfer pass incomplete to 34-R.Droughns.,114,60,1:18,1,10,0,3622,Punt
