game_id,drive,drive_end_yard_line,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2005_06_CAR_DET,28,DET 49,24,51,0:04,1,10,0,3888,Turnover on downs
2005_06_CIN_TEN,22,CIN 29,59,47,0:32,1,10,1,3712,Field goal
2005_06_NYG_DAL,24,DAL 24,52,52,0:19,1,10,1,3769,Touchdown
2005_06_WAS_KC,21,KC 33,82,48,0:08,1,10,0,3857,Turnover on downs
2005_08_GB_CIN,22,CIN 30,48,47,0:00,1,10,0,3685,End of half
2005_08_JAX_STL,23,LA 45,101,45,1:21,1,10,0,3391,Turnover on downs
2005_09_DET_MIN,24,MIN 25,120,45,0:07,1,10,0,3843,Turnover
2005_09_HOU_JAX,19,JAX 42,113,53,0:35,1,10,0,3562,Turnover on downs
2005_09_OAK_KC,23,LV 1,27,50,0:00,1,10,1,4183,Touchdown
2005_09_SEA_ARI,21,ARI 41,63,54,0:47,1,10,0,4223,Turnover
2005_10_DAL_PHI,26,DAL 42,24,51,0:00,1,10,0,4010,Missed field goal
2005_10_STL_SEA,21,SEA 22,39,46,0:00,1,10,0,3781,End of half
2005_10_WAS_TB,23,WAS 30,112,54,0:58,1,10,1,3646,Touchdown
2005_11_ARI_STL,22,ARI 48,33,52,0:00,1,10,0,4102,End of half
2005_11_JAX_TEN,25,JAX 8,64,49,0:10,1,10,1,3862,Touchdown
2005_11_NO_NE,20,NE 22,69,55,0:00,1,10,0,4045,Turnover
2005_11_OAK_WAS,23,LV 43,64,51,0:05,1,10,0,4102,Turnover
2005_11_PHI_NYG,24,NYG 19,77,48,0:19,1,10,0,3964,Missed field goal
2005_12_CAR_BUF,15,CAR 43,114,54,0:41,1,10,0,3746,Turnover
2005_12_GB_PHI,28,50,64,45,0:38,1,10,0,3975,Turnover
2005_12_JAX_ARI,22,JAX 36,60,52,0:23,1,10,0,4329,Turnover
2005_12_MIA_OAK,27,MIA 48,11,48,0:00,1,10,0,4451,End of half
2005_12_NO_NYJ,18,NO 34,97,54,0:10,1,10,0,3625,Missed field goal
2005_12_SF_TEN,29,TEN 31,72,55,0:05,1,10,0,4056,Turnover
2005_12_STL_HOU,18,HOU 43,68,47,0:26,1,10,1,3850,Touchdown
2005_12_STL_HOU,19,HOU 29,23,48,0:04,1,10,1,3943,Field goal
2005_13_GB_CHI,28,CHI 14,80,50,0:00,1,10,0,4558,End of half
2005_13_HOU_BAL,25,HOU 20,33,45,0:06,1,10,1,4586,Field goal
2005_13_MIN_DET,20,MIN 46,64,46,0:52,1,10,0,3608,Turnover
2005_14_OAK_NYJ,20,NYJ 49,68,52,0:00,1,10,0,3919,Turnover
2005_14_STL_MIN,29,MIN 42,110,53,1:02,1,10,0,3881,Turnover
2005_15_ATL_CHI,26,CHI 46,26,54,0:00,1,10,0,3988,End of half
2005_16_BUF_CIN,20,CIN 49,23,55,0:00,1,10,0,3895,End of half
2005_16_MIN_BAL,20,BAL 28,52,49,0:15,1,10,1,3731,Field goal
2005_16_PHI_ARI,30,ARI 1,105,49,0:26,1,10,1,4617,Touchdown
2005_17_BAL_CLE,28,BAL 41,92,49,0:58,1,10,0,4226,Turnover
2005_17_NO_TB,21,NO 46,120,54,1:43,1,10,0,3600,Opp touchdown
2005_17_STL_DAL,26,LA 49,49,54,0:11,1,10,0,4277,Turnover
2005_18_WAS_TB,23,TB 46,65,54,0:57,1,10,0,3346,Turnover
2006_01_ATL_CAR,23,ATL 33,97,49,0:13,1,10,0,4034,Turnover on downs
2006_01_IND_NYG,18,NYG 46,17,49,0:00,1,10,0,4000,End of half
2006_01_NO_CLE,22,NO 45,117,50,1:36,1,10,0,3859,Turnover
2006_01_NO_CLE,22,NO 45,103,45,1:36,1,10,0,3859,Turnover
2006_01_NYJ_TEN,25,NYJ 8,114,50,0:35,1,10,0,4404,Turnover on downs
